date,close,asset,ticker_used
2023-10-04,84.22000122070312,crude,CL=F
2023-10-05,82.30999755859375,crude,CL=F
2023-10-06,82.79000091552734,crude,CL=F
2023-10-09,86.37999725341797,crude,CL=F
2023-10-10,85.97000122070312,crude,CL=F
2023-10-11,83.48999786376953,crude,CL=F
2023-10-12,82.91000366210938,crude,CL=F
2023-10-13,87.69000244140625,crude,CL=F
2023-10-16,86.66000366210938,crude,CL=F
2023-10-17,86.66000366210938,crude,CL=F
2023-10-18,88.31999969482422,crude,CL=F
2023-10-19,89.37000274658203,crude,CL=F
2023-10-20,88.75,crude,CL=F
2023-10-23,85.48999786376953,crude,CL=F
2023-10-24,83.73999786376953,crude,CL=F
2023-10-25,85.38999938964844,crude,CL=F
2023-10-26,83.20999908447266,crude,CL=F
2023-10-27,85.54000091552734,crude,CL=F
2023-10-30,82.30999755859375,crude,CL=F
2023-10-31,81.0199966430664,crude,CL=F
2023-11-01,80.44000244140625,crude,CL=F
2023-11-02,82.45999908447266,crude,CL=F
2023-11-03,80.51000213623047,crude,CL=F
2023-11-06,80.81999969482422,crude,CL=F
2023-11-07,77.37000274658203,crude,CL=F
2023-11-08,75.33000183105469,crude,CL=F
2023-11-09,75.73999786376953,crude,CL=F
2023-11-10,77.16999816894531,crude,CL=F
2023-11-13,78.26000213623047,crude,CL=F
2023-11-14,78.26000213623047,crude,CL=F
2023-11-15,76.66000366210938,crude,CL=F
2023-11-16,72.9000015258789,crude,CL=F
2023-11-17,75.88999938964844,crude,CL=F
2023-11-20,77.5999984741211,crude,CL=F
2023-11-21,77.7699966430664,crude,CL=F
2023-11-22,77.0999984741211,crude,CL=F
2023-11-24,75.54000091552734,crude,CL=F
2023-11-27,74.86000061035156,crude,CL=F
2023-11-28,76.41000366210938,crude,CL=F
2023-11-29,77.86000061035156,crude,CL=F
2023-11-30,75.95999908447266,crude,CL=F
2023-12-01,74.06999969482422,crude,CL=F
2023-12-04,73.04000091552734,crude,CL=F
2023-12-05,72.31999969482422,crude,CL=F
2023-12-06,69.37999725341797,crude,CL=F
